題目,正確答案,選項一,選項二,選項三,選項四
問題#505⼀家公司擁有 Amazon EC2 實例，每晚執⾏批次作業來處理資料。EC2 執⾏個體在使⽤隨選計費的 Auto Scaling 群組中執⾏。如果作業在⼀個實例上失敗，另⼀個實例將重新處理該作業。批次作業在每天當地時間凌晨 12:00 ⾄ 06:00 之間運⾏。哪⼀種解決⽅案能夠以最具成本效益的⽅式提供 EC2 執⾏個體來滿⾜這些要求？,, 購買 Amazon EC2 1 年期 Savings Plan，此計畫涵蓋批次作業所使⽤的 Auto Scaling 群組的執⾏個體系列。, 針對批次作業所使⽤的 Auto Scaling 群組中實例的特定實例類型和作業系統購買 1 年期預留實例。, 為 Auto Scaling 群組建立新的啟動範本。將實例設定為 Spot 實例。設定根據 CPU 使⽤情況進⾏擴充的策略。, 為 Auto Scaling 群組建立新的啟動範本。增加實例⼤⼩。設定根據 CPU 使⽤情況進⾏擴充的策略。
問題#506⼀家社群媒體公司正在為其網站建立⼀項功能。該功能將使⽤⼾能夠上傳照片。該公司預計⼤型活動期間的需求將顯著增加，並且必須確保網站能夠處理⽤⼾的上傳流量。哪種解決⽅案能夠滿⾜這些要求並具有最⼤的可擴展性？,, 將檔案從使⽤者瀏覽器上傳到應⽤程式伺服器。將檔案傳輸到 Amazon S3 儲存桶。, 設定 AWS Storage Gateway 檔案閘道。將檔案直接從使⽤者瀏覽器上傳到檔案網關。, 在應⽤程式中產⽣ Amazon S3 預簽名 URL。將檔案直接從使⽤者瀏覽器上傳到 S3 儲存桶。, 預置 Amazon Elastic File System (Amazon EFS) 檔案系統。將檔案直接從使⽤者瀏覽器上傳到檔案系統。
問題#507⼀家公司有⼀個⽤於旅⾏票務的網路應⽤程式。該應⽤程式基於在北美單⼀資料中⼼運⾏的資料庫。該公司希望擴展該應⽤程式以服務全球⽤⼾群。該公司需要將應⽤程式部署到多個 AWS 區域。更新預訂資料庫的平均延遲必須⼩於 1 秒。該公司希望在多個區域單獨部署其網路平台。然⽽，公司必須維護⼀個全球⼀致的單⼀主要預訂資料庫。解決⽅案架構師應該推薦哪⼀種解決⽅案來滿⾜這些要求？,, 將應⽤程式轉換為使⽤ Amazon DynamoDB。使⽤全域表作為中⼼保留表。在每個區域部署中使⽤正確的區域端點。, 將資料庫移轉到 Amazon Aurora MySQL 資料庫。在每個區域部署 Aurora 只讀副本。在每個區域部署中使⽤正確的區域端點來存取資料庫。, 將資料庫移轉到 Amazon RDS for MySQL 資料庫。在每個區域部署 MySQL 唯讀副本。在每個區域部署中使⽤正確的區域端點來存取資料庫。, 將應⽤程式移轉到 Amazon Aurora Serverless 資料庫。將資料庫執⾏個體部署到每個區域。在每個區域部署中使⽤正確的區域端點來存取資料庫。使⽤ AWS Lambda 函數處理每個區域中的事件流以同步資料庫。
問題 #508⼀家公司已將多個 Microsoft Windows Server ⼯作負載移轉到在 us-west-1 區域中執⾏的 Amazon EC2 執⾏個體。本公司根據需要⼿動備份⼯作負載以建立映像。如果 us-west-1 區域發⽣⾃然災害，該公司希望快速恢復 us-west-2 區域的⼯作負載。該公司希望 EC2 執⾏個體上的資料遺失時間不超過 24 ⼩時。該公司還希望⾃動執⾏ EC2 執⾏個體的所有備份。哪些解決⽅案能夠以最少的管理⼯作來滿⾜這些要求？（選兩個。）,, 建立 Amazon EC2 ⽀援的 Amazon 系統映像 (AMI) ⽣命週期原則以基於標籤建立備份。安排備份每天執⾏兩次。根據需要複製圖像。, 建立 Amazon EC2 ⽀援的 Amazon 系統映像 (AMI) ⽣命週期原則以基於標籤建立備份。安排備份每天執⾏兩次。將副本配置到us-west-2 區域。, 使⽤ AWS Backup 在 us-west-1 和 us-west-2 中建立備份檔案庫。根據標籤值為 EC2 執⾏個體建立備份計畫。建立⼀個 AWSLambda 函數作為排程作業運⾏，以將備份資料複製到 us-west-2。, 使⽤ AWS Backup 建立備份檔案庫。使⽤ AWS Backup 根據標籤值為 EC2 執⾏個體建立備份計畫。將副本的⽬標定義為 us-west-2。指定每天執⾏兩次的備份計畫。E. 使⽤ AWS Backup 建立備份檔案庫。使⽤ AWS Backup 根據標籤值為 EC2 執⾏個體建立備份計畫。指定每天執⾏兩次的備份計畫。按需複製到 us-west-2。
問題 #509⼀家公司運⾏⼀個兩層圖像處理應⽤程式。此應⽤程式使⽤兩個可⽤區，每個可⽤區具有 1 個公有⼦網路和 1 個私⼈⼦網路。Web層的應⽤程式負載平衡器 (ALB) 使⽤公有⼦網路。應⽤程式層的 Amazon EC2 執⾏個體使⽤私有⼦網路。⽤⼾報告該應⽤程式的運⾏速度比預期慢。對 Web 伺服器⽇誌檔案的安全性審核顯⽰，該應⽤程式正在從少數 IP 位址接收數百萬個非法請求。解決⽅案架構師需要解決當前的效能問題，⽽公司則研究更持久的解決⽅案。解決⽅案架構師應該建議什麼來滿⾜此要求？,, 修改Web 層的入站安全性群組。為消耗資源的 IP 位址新增拒絕規則。, 修改 Web 層⼦網路的網路 ACL。為消耗資源的 IP 位址新增入站拒絕規則。, 修改應⽤層的入站安全群組。為消耗資源的 IP 位址新增拒絕規則。, 修改應⽤層⼦網路的網路 ACL。為消耗資源的 IP 位址新增入站拒絕規則。
問題 #510⼀家全球⾏銷公司的應⽤程式在 ap-southeast-2 區域和 eu-west-1 區域運⾏。在 eu-west-1 中的 VPC 中運⾏的應⽤程式需要與 ap-southeast-2 中的 VPC 中運⾏的資料庫進⾏安全通訊。哪種網路設計能夠滿⾜這些要求？,, 在 eu-west-1 VPC 和 ap-southeast-2 VPC 之間建立 VPC 對等連線。在 eu-west-1 應⽤程式安全群組中建立⼀條入站規則，允許來⾃ap-southeast-2 安全群組中的資料庫伺服器 IP 位址的流量。, 在 ap-southeast-2 VPC 和 eu-west-1 VPC 之間配置 VPC 對等連線。更新⼦網路由表。在 ap-southeast-2 資料庫安全性群組中建立⼀條入站規則，引⽤ eu-west-1 中應⽤程式伺服器的安全群組 ID。, 在 ap-southeast-2 VPC 和 eu-west-1 VP 之間設定 VPC 對等連接更新⼦網路路由表。在 ap-southeast-2 資料庫安全群組中建立⼀條入站規則，允許來⾃ eu-west-1 應⽤程式伺服器 IP 位址的流量。, 在 eu-west-1 VPC 和 ap-southeast-2 VPC 之間建立具有對等連線的中轉閘道。在中轉網關正確對等互連並配置路由後，在資料庫安全性群組中建立引⽤ eu-west-1 中應⽤程式伺服器的安全群組 ID 的入站規則。
問題#511⼀家公司正在開發使⽤ PostgreSQL 資料庫架構的軟體。公司需要為公司的開發⼈員配置多種開發環境和資料庫。平均⽽⾔，每個開發環境的使⽤時間為每天 8 ⼩時⼯作⽇的⼀半。哪⼀種解決⽅案能夠最具成本效益地滿⾜這些要求？,, 使⽤⾃⼰的 Amazon Aurora PostgreSQL 資料庫來設定每個開發環境, 使⽤⾃⼰的 Amazon RDS for PostgreSQL 單可⽤區資料庫執⾏個體來設定每個開發環境, 使⽤⾃⼰的 Amazon Aurora On-Demand PostgreSQL 相容資料庫配置每個開發環境, 使⽤ Amazon S3 Object Select 為每個開發環境配置⾃⼰的 Amazon S3 儲存桶
問題 #512⼀家公司使⽤ AWS Organizations 以及按帳⼾標記的資源。該公司還使⽤ AWS Backup 來備份其 AWS 基礎設施資源。公司需要備份所有AWS資源。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 使⽤ AWS Cong 識別所有未標記的資源。以程式設計⽅式標記已識別的資源。在備份計畫中使⽤標籤。, 使⽤ AWS Cong 識別所有未運⾏的資源。將這些資源新增⾄備份保管庫。, 要求所有 AWS 帳⼾擁有者檢查其資源，以確定需要備份的資源。, 使⽤ Amazon Inspector 識別所有不合規資源。
問題#513⼀家社群媒體公司希望允許其⽤⼾在 AWS 雲端中託管的應⽤程式中上傳圖像。該公司需要⼀種能夠⾃動調整圖像⼤⼩的解決⽅案，以便圖像可以在多種設備類型上顯⽰。該應⽤程式全天都會經歷不可預測的流量模式。該公司正在尋求⼀種⾼度可⽤的解決⽅案，以最⼤限度地提⾼可擴展性。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 建立⼀個在 Amazon S3 中託管的靜態網站，該網站呼叫 AWS Lambda 函數來調整圖片⼤⼩並將圖像儲存在 Amazon S3 儲存桶中。, 建立⼀個在 Amazon CloudFront 中託管的靜態網站，該網站呼叫 AWS Step Functions 來調整圖片⼤⼩並將圖像儲存在 AmazonRDS 資料庫中。, 建立⼀個託管在 Amazon EC2 執⾏個體上執⾏的 Web 伺服器上的動態網站。配置在 EC2 執⾏個體上執⾏的進程以調整映像⼤⼩並將映像儲存在 Amazon S3 儲存桶中。, 建立⼀個託管在⾃動擴充的 Amazon Elastic Container Service (Amazon ECS) 叢集上的動態網站，該叢集在 Amazon Simple QueueService (Amazon SQS) 中建立調整⼤⼩作業。設定在 Amazon EC2 執⾏個體上執⾏的影像調整⼤⼩程式來處理調整⼤⼩作業。
問題 #514⼀家公司正在 Amazon EC2 執⾏個體上執⾏微服務應⽤程式。該公司希望將應⽤程式遷移到 Amazon Elastic Kubernetes Service (AmazonEKS) 叢集以實現可擴展性。公司必須配置 Amazon EKS 控制平⾯，將終端節點私⼈存取設為 true，將終端節點公共存取設為 false，以保持安全合規性。公司也必須將資料平⾯置於私有⼦網路中。然⽽，該公司收到了錯誤通知，因為該節點無法加入叢集。哪種解決⽅案將允許節點加入叢集？,, 將 AWS Identity and Access Management (IAM) 中所需的權限授予 AmazonEKSNodeRole IAM ⾓⾊。, 建立介⾯VPC端點以允許節點存取控制平⾯。, 在公⽤⼦網路中重新建立節點。限制 EC2 節點的安全群組。, 允許節點安全群組內的出站流量。
問題 #515⼀家公司正在將本機應⽤程式遷移到 AWS。該公司希望使⽤ Amazon Redshift 作為解決⽅案。在這種情況下，哪些⽤例適合 Amazon Redshift？（選擇三項。）,, ⽀援數據 API 透過傳統、容器化和事件驅動應⽤程式存取數據, ⽀援客⼾端和伺服器端加密, 在指定時間和應⽤程式不活動時建立分析⼯作負載, 快取數據，減輕後端資料庫壓⼒E. 全球擴展以⽀援 PB 級數據和每分鐘數千萬個請求F. 使⽤ AWS 管理主控台建立叢集的輔助副本正確
問題#516⼀家公司向客⼾提供 API 接⼝，以便客⼾可以檢索他們的財務資訊。該公司預計在⼀年中的⾼峰使⽤時段會出現⼤量請求。該公司要求 API 能夠以低延遲做出⼀致回應，以確保客⼾滿意度。公司需要為 API 提供運算主機。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 使⽤ Application Load Balancer 和 Amazon Elastic Container Service (Amazon ECS)。, 使⽤具有預先配置並發性的 Amazon API Gateway 和 AWS Lambda 函數。, 使⽤ Application Load Balancer 和 Amazon Elastic Kubernetes Service (Amazon EKS) 叢集。, 使⽤具有預留並發性的 Amazon API Gateway 和 AWS Lambda 函數。
問題#517⼀家公司希望將所有 AWS Systems Manager 會話管理器⽇誌傳送到 Amazon S3 儲存桶以進⾏存檔。哪種解決⽅案能夠以最⾼的營運效率滿⾜此要求？,, 在 Systems Manager 控制台中啟⽤ S3 ⽇誌記錄。選擇要將會話資料傳送到的 S3 儲存桶。, 安裝 Amazon CloudWatch 代理程式。將所有⽇誌推送到 CloudWatch ⽇誌組。將⽇誌從群組匯出到 S3 儲存桶以進⾏存檔。, 建立 Systems Manager 文件以將所有伺服器⽇誌上傳到中央 S3 儲存桶。使⽤ Amazon EventBridge 每天針對帳⼾中的所有伺服器執⾏ Systems Manager 文件。, 安裝 Amazon CloudWatch 代理程式。將所有⽇誌推送到 CloudWatch ⽇誌組。建立 CloudWatch ⽇誌訂閱，將任何傳入⽇誌事件推送到 Amazon Kinesis Data Firehose 傳輸流。將 Amazon S3 設定為⽬標。
問題 #518應⽤程式使⽤ Amazon RDS MySQL 資料庫執⾏個體。RDS 資料庫的磁碟空間不⾜。解決⽅案架構師希望在不停機的情況下增加磁碟空間。哪種解決⽅案能夠以最少的努⼒滿⾜這些要求？,, 在 RDS 中啟⽤儲存⾃動縮放, 增加RDS資料庫執⾏個體⼤⼩, 將RDS資料庫實例儲存類型變更為Provisioned IOPSD、 備份RDS資料庫，增加儲存容量，恢復資料庫，停⽌之前的實例答案：A🗳社區投票分佈A (100%), 備份RDS資料庫，增加儲存容量，恢復資料庫，停⽌之前的實例
問題#519⼀家顧問公司為全球客⼾提供專業服務。該公司為客⼾提供解決⽅案和⼯具，以加快在 AWS 上收集和分析資料的速度。公司需要集中管理和部署⼀套通⽤的解決⽅案和⼯具，供客⼾⽤於⾃助服務。哪種解決⽅案可以滿⾜這些要求？,, 為客⼾建立 AWS CloudFormation 範本。, 為客⼾建立 AWS Service Catalog 產品。, 為客⼾建立 AWS Systems Manager 範本。, 為客⼾建立 AWS Cong 專案。
問題 #520⼀家公司正在設計⼀個將在 Amazon EC2 執⾏個體上執⾏的新 Web 應⽤程式。該應⽤程式將使⽤ Amazon DynamoDB 進⾏後端資料儲存。應⽤程式流量將是不可預測的。該公司預計應⽤程式對資料庫的讀寫吞吐量將為中等到⾼。該公司需要進⾏擴展以響應應⽤程式流量。哪⼀種 DynamoDB 表配置能夠最經濟有效率地滿⾜這些要求？,, 使⽤ DynamoDB 標準表類別配置具有預先配置讀取和寫入功能的 DynamoDB。將 DynamoDB ⾃動縮放設定為最⼤定義容量。, 使⽤ DynamoDB 標準表類別以按需模式設定 DynamoDB。, 使⽤ DynamoDB 標準不頻繁存取 (DynamoDB Standard-IA) 表類別為 DynamoDB 配置預先配置的讀取和寫入。將 DynamoDB ⾃動縮放設定為最⼤定義容量。, 使⽤ DynamoDB 標準不頻繁存取 (DynamoDB Standard-IA) 表類別以按需模式配置 DynamoDB。
問題 #521⼀家零售公司擁有多項業務。每個企業的 IT 團隊管理⾃⼰的 AWS 帳⼾。每個團隊帳⼾都是 AWS Organizations 中組織的⼀部分。每個團隊都在⾃⼰的 AWS 帳⼾的 Amazon DynamoDB 表中監控其產品庫存⽔準。該公司正在將中央庫存報告應⽤程式部署到共享 AWS 帳⼾。應⽤程式必須能夠從所有團隊的 DynamoDB 表中讀取項⽬。哪種⾝份驗證選項最安全地滿⾜這些要求？,, 在庫存應⽤程式帳號中將 DynamoDB 與 AWS Secrets Manager 整合。設定應⽤程式以使⽤ Secrets Manager 中的正確⾦鑰來進⾏驗證並讀取 DynamoDB 表。每 30 天安排⼀次秘密輪替。, 在每個企業帳⼾中，建立⼀個具有程式存取權限的 IAM 使⽤者。設定應⽤程式以使⽤正確的 IAM 使⽤者存取⾦鑰 ID 和秘密存取⾦鑰來驗證和讀取 DynamoDB 表。每 30 天⼿動輪換⼀次 IAM 存取密鑰。, 在每個企業帳⼾中，建立⼀個名為 BU_ROLE 的 IAM ⾓⾊，該⾓⾊具有授予⾓⾊對 DynamoDB 表的存取權限的策略，以及信任庫存應⽤程式帳⼾中特定⾓⾊的信任策略。在庫存帳⼾中，建立⼀個名為 APP_ROLE 的⾓⾊，該⾓⾊允許存取 STS AssumeRoleAPI 操作。將應⽤程式設定為使⽤ APP_ROLE 並承擔跨帳⼾⾓⾊ BU_ROLE 來讀取 DynamoDB 表。, 將 DynamoDB 與 AWS Certicate Manager (ACM) 整合。產⽣⾝分憑證以對 DynamoDB 進⾏⾝份驗證。設定應⽤程式以使⽤正確的憑證來驗證和讀取 DynamoDB 表。
問題#522⼀家公司使⽤ Amazon Elastic Kubernetes Service (Amazon EKS) 運⾏容器應⽤程式。公司⼀天中的⼯作量並不⼀致。該公司希望Amazon EKS 根據⼯作負載進⾏擴充和擴展。哪種步驟組合能夠以最少的營運開銷滿⾜這些要求？（選兩個。）,, 使⽤ AWS Lambda 函數調整 EKS 叢集的⼤⼩。, 使⽤ Kubernetes Metrics Server 啟動⽔平 Pod ⾃動縮放。, 使⽤ Kubernetes Cluster Autoscaler 管理叢集中的節點數量。, 使⽤ Amazon API Gateway 並將其連接到 Amazon EKS。E. 使⽤ AWS App Mesh 觀察網路活動。
問題#523⼀家公司運⾏基於微服務的無伺服器 Web 應⽤程式。應⽤程式必須能夠從多個 Amazon DynamoDB 表檢索資料 解決⽅案架構師需要賦予應⽤程式檢索資料的能⼒，⽽不影響應⽤程式的基準效能。哪⼀種解決⽅案能夠以最⾼效的⽅式滿⾜這些要求？,, AWS AppSync 管道解析器, 具有 Lambda@Edge 函數的 Amazon CloudFront, 具有 AWS Lambda 函數的邊緣最佳化 Amazon API Gateway, 使⽤ DynamoDB 連接器的 Amazon Athena 聯合查詢
